NickName,Province,City,Sex,Signature
Myself,江苏,南京,2,"Enjoy<span class=""emoji emoji1f49d""></span>"
Hansen,江苏,南京,1,每一天，为明天。自己是一切的根源！
Callie,Know City,,2,是该去远方放松下了
Camilla,江苏,南京,2,I will love you with every beat of my heart.
skyfeng,江苏,南京,1,面朝大海，春暖花开
Calvin,江苏,南京,1,农场主
Xue,江苏,南京,,青春是奔流的江河
Stone,陕西,西安,1,真正的生活
#,江苏,南京,1,
Caleb,Firenze,,1,这位童鞋很懒，这个签名想用一辈子。
Earl,江苏,南京,1,求知若渴，虚心若愚
Early,Hsinchu City,,1,开心 玩乐
Cara,湖南,株洲,2,连接理想与现实的基础是不辞辛苦的实践。
Cain,江苏,南京,1,这一生只愿只要平凡快乐，谁说这样不伟大呢
Dagmar,江苏,南京,2,平平淡淡才是真的生活
Leon,浙江,杭州,1,做什么都很专业
CD,江苏,南京,,忽然之间
Haley,上海,,1,内心强大，万事无忧
Sea,北京,朝阳,1,大人看利益，小孩看对错
Dahlia,江苏,南京,2,荣辱不惊，闲看庭前花开花落。去留无意，坐看天边云卷云舒。
Binco,江苏,南京,1,人生重要的不是所站的位置，而是所朝的方向。
Daisy,江苏,南京,2,自信，珍惜
Robert,江苏,南京,0,快乐永远
Abe,四川,成都,1,Enginerring Failure
Daryl,云南,昆明,2,自由是你不想做什么就不做什么。
Ablitt,,,1,好的心态最重要
Plus,四川,成都,1,可以平凡，绝不平庸
Larry,江苏,南京,1,欲速则不达
Eddie,上海,静安,1,不能在最该拼搏的年纪选择安逸
Eddy,陕西,西安,1,十份努力，一份收获
Davina,北京,海淀,2,人生如此，拿酒来
Debby,台湾,新竹,2,珍惜當下，全力以赴
Neo,浙江,绍兴,1,我希望没有人活在别人的希望里
Edward,上海,,1,Know yourself
Deborah,,,2,远离浮躁，拥抱平静！
Edwin,江苏,南京,1,人性而已，不多也不少
Egan,广东,深圳,1,求知若渴，虚心若愚
arrow,江苏,南京,1,思而有备，有备而无患
sky,江苏,南京,1,平淡是真
Liam,江苏,泰州,1,能居庙堂之高，能处江湖之远
ba,北京,东城,1,不是看到希望才努力，而是努力才会看到希望
Rain,广东,深圳,1,愿历经千帆，归来仍少年。
Carney,广东,深圳,1,技术改变世界
Carr,北京,海淀,1,但愿长醉不复醒
Carrol,广东,深圳,1,加持于心，不废于业
Carroll,河南,信阳,1,一念起生死相许，转眼间沧海桑田
Debra,安徽,淮北,2,90后国家二级退堂鼓演奏家
Deidre,江苏,南京,2,母亲就是心中的佛!  
Dailey,江西,南昌,1,这一生只愿只要平凡快乐
Dale,浙江,杭州,1,唯美人与美食不可辜负
Delia,江苏,苏州,2,你当温柔，却有力量。
Daly,北京,朝阳,1,平淡是真
Walker,上海,,,
Pumpkin,,,1,和优秀的人在一起 没有理由变得不优秀
Darwin,广东,广州,1,成为彼此成功的保障
Dave,,,1,人生应该有场独一无二的旅行！
Gage,广东,佛山,1,你要去相信，没有到不了的明天
Georgia,上海,静安,1,kaggle is so hard
Eda,福建,南平,2,众生皆苦，而我是草莓味的
Galen,广东,深圳,1,夏天过去，有些花仍未开放
Galloway,上海,宝山,1,愿历尽千帆，归来仍少年
Edith,湖南,常德,2,忍耐，控制
。,江苏,淮安,1,……
Gaylord,北京,丰台,1,人有大智，工尽其能
Hackett,上海,徐汇,1,一期一会
Hal,江苏,淮安,1,夜尽天明
Hale,广东,惠州,1,尊重每一个人。
Edna,河北,邢台,2,每一个决定都应当对这个世界最大的善意
Hamilton,上海,徐汇,1,只要走出第一步，世界就很小
Hand,江苏,南京,1,你应该是一场梦 我应该是一阵风
Ike,江苏,南京,1,你是年少的欢喜
Ingram,北京,大兴,1,持续保持进步
Effie,上海,黄浦,2,我为梦想而生也要为梦想而活，不要被生活而打败忘了最初的自己！
Inman,,,1,愿你走出半生，归来仍是少年。
Macy,江苏,南京,,顺其自然～
Irwin,北京,海淀,1,比较无止境，自证无意义，名利皆围城，成长才是真！
Isaac,北京,海淀,1,所有能够教会我们谦卑的学问都是好学问
Jack,江苏,苏州,1,好好加油，才能做自己喜欢的事
Abbas,,,,"除了努力之外就还是努力<span class=""emoji emoji1f4aa""></span>"
James,天津,,1,泯然众人矣
Jared,浙江,杭州,1,
Jay,广东,佛山,1,
Kane,,,1,为了未来努力💪
Karl,江苏,南京,1,让人一尺，天宽一丈。
Kearney,上海,徐汇,1,I am tired of reading stories about great men.
Keeley,,,1,我要珍惜时间：吃火锅
Keen,湖北,武汉,1,E=mc^2
Keith,北京,朝阳,1,站在理性和感性交叉口的旁观者
Kendrick,贵州,贵阳,1,执一不二，正心跬步；勇猛精进，热血千秋。
Lacy,江苏,南京,1,用祝福的心看世界
Ladd,北京,海淀,1,只有一种英雄主义，就是在认清生活的真相之后，依然热爱生活！
Lambert,,,1,All about data and analysis 
Lamont,江苏,南京,1,我实在没有理由不向前走，我实在没有理由仅为自己而向前走。
Yuki,巴黎,,2,你不懂我的难过 又怎么懂得我的快乐
Eleanora,上海,,2,
Lance,上海,杨浦,1,在正确的方向上持续行动、不断积累，价值自然会实现。
Lange,上海,浦东新区,1,"๑╹◡╹)ﾉ"""
Langston,江苏,南京,1,好好活下去，每天都有新的打击
Danny,江苏,南京,,一半是火焰一半是海水
Jesmine,,,0,凡事预则立，不预则废
Larkin,广东,梅州,1,hunt or to be hunted
Laurence,上海,浦东新区,1,
Mac,陕西,西安,1,"<span class=""emoji emoji2600""></span>️"
Wally,上海,徐汇,,勿将愿望与事实混淆
Elin,,,2,笑点低，泪点低
Mack,,,1,不困于情，不乱于心。不念过去，不畏将来。
Elinor,江苏,南京,2,好好爱自己！
Elise,上海,长宁,2,Love is love
Maddox,,,1,务虚名处实祸，忘初心失迷途。
Elena,陕西,宝鸡,2,The best or nothing